0.06469849246231156 ('DAI62779', 'ELE17451', 'DAI31081')
0.4471830985915493 ('DAI85309', 'FRO40251', 'DAI62779')
0.4471830985915493 ('FRO40251', 'DAI85309', 'DAI62779')
0.44782608695652176 ('DAI31081', 'ELE17451', 'DAI62779')
0.44881889763779526 ('SNA53220', 'SNA93860', 'FRO19221')
0.44881889763779526 ('SNA93860', 'SNA53220', 'FRO19221')
0.4491803278688525 ('GRO59710', 'GRO73461', 'ELE32164')
0.4491803278688525 ('GRO73461', 'GRO59710', 'ELE32164')
0.45161290322580644 ('SNA59903', 'SNA72163', 'DAI88807')
0.45161290322580644 ('SNA72163', 'SNA59903', 'DAI88807')
0.4517876489707476 ('DAI62779', 'SNA80324', 'ELE17451')
0.4560669456066946 ('DAI75645', 'GRO30386', 'FRO40251')
0.4561213434452871 ('DAI62779', 'SNA80324', 'DAI75645')
0.46387832699619774 ('FRO85978', 'SNA93860', 'ELE59028')
0.46387832699619774 ('SNA93860', 'FRO85978', 'ELE59028')
0.4658119658119658 ('ELE17451', 'GRO30386', 'DAI62779')
0.4658119658119658 ('GRO30386', 'ELE17451', 'DAI62779')
0.46596858638743455 ('DAI62779', 'GRO85051', 'ELE17451')
0.4666666666666667 ('ELE17451', 'SNA99873', 'DAI62779')
0.4666666666666667 ('SNA99873', 'ELE17451', 'DAI62779')
0.46691176470588236 ('ELE17451', 'SNA72163', 'SNA59903')
0.4669603524229075 ('GRO44993', 'GRO73461', 'FRO73056')
0.4669603524229075 ('GRO73461', 'GRO44993', 'FRO73056')
0.4692982456140351 ('DAI62779', 'SNA95666', 'FRO85978')
0.4709897610921502 ('DAI83733', 'DAI85309', 'DAI62779')
0.4709897610921502 ('DAI85309', 'DAI83733', 'DAI62779')
0.4732142857142857 ('ELE74009', 'SNA80324', 'DAI75645')
0.4732142857142857 ('SNA80324', 'ELE74009', 'DAI75645')
0.4766355140186916 ('GRO38814', 'SNA80324', 'DAI75645')
0.4766355140186916 ('SNA80324', 'GRO38814', 'DAI75645')
0.47950819672131145 ('DAI75645', 'GRO38814', 'FRO40251')
0.48221343873517786 ('DAI62779', 'SNA18336', 'ELE17451')
0.48484848484848486 ('ELE17451', 'ELE74009', 'DAI62779')
0.48484848484848486 ('ELE74009', 'ELE17451', 'DAI62779')
0.4858490566037736 ('DAI75645', 'DAI85309', 'DAI62779')
0.4858490566037736 ('DAI85309', 'DAI75645', 'DAI62779')
0.48660714285714285 ('FRO40251', 'GRO30386', 'DAI75645')
0.48660714285714285 ('GRO30386', 'FRO40251', 'DAI75645')
0.48672566371681414 ('DAI75645', 'SNA80324', 'FRO40251')
0.4868913857677903 ('ELE26917', 'SNA80324', 'DAI75645')
0.4868913857677903 ('SNA80324', 'ELE26917', 'DAI75645')
0.48947368421052634 ('GRO30386', 'GRO73461', 'DAI62779')
0.48947368421052634 ('GRO73461', 'GRO30386', 'DAI62779')
0.4897959183673469 ('DAI75645', 'SNA45677', 'FRO40251')
0.49099099099099097 ('GRO73461', 'SNA55762', 'DAI62779')
0.49099099099099097 ('SNA55762', 'GRO73461', 'DAI62779')
0.4918032786885246 ('DAI55148', 'ELE17451', 'DAI62779')
0.4921875 ('SNA45677', 'SNA80324', 'FRO40251')
0.4921875 ('SNA80324', 'SNA45677', 'FRO40251')
0.4933920704845815 ('FRO40251', 'SNA96271', 'SNA80324')
0.4950980392156863 ('ELE17451', 'GRO59710', 'ELE32164')
0.4953271028037383 ('GRO38814', 'SNA80324', 'FRO40251')
0.4953271028037383 ('SNA80324', 'GRO38814', 'FRO40251')
0.4954128440366973 ('GRO94758', 'SNA80324', 'DAI62779')
0.4954128440366973 ('SNA80324', 'GRO94758', 'DAI62779')
0.4966216216216216 ('DAI83733', 'ELE17451', 'DAI62779')
0.4966216216216216 ('ELE17451', 'DAI83733', 'DAI62779')
0.4977168949771689 ('DAI91290', 'ELE17451', 'DAI62779')
0.4977168949771689 ('ELE17451', 'DAI91290', 'DAI62779')
0.49812734082397003 ('ELE26917', 'SNA80324', 'FRO40251')
0.5010989010989011 ('ELE92920', 'SNA18336', 'ELE17451')
0.5010989010989011 ('SNA18336', 'ELE92920', 'ELE17451')
0.5016393442622951 ('GRO71621', 'GRO73461', 'DAI62779')
0.5016393442622951 ('GRO73461', 'GRO71621', 'DAI62779')
0.5022421524663677 ('FRO40251', 'GRO81087', 'DAI75645')
0.5022421524663677 ('GRO81087', 'FRO40251', 'DAI75645')
0.5023474178403756 ('DAI75645', 'GRO21487', 'FRO40251')
0.5025125628140703 ('ELE17451', 'SNA80324', 'DAI75645')
0.5025125628140703 ('SNA80324', 'ELE17451', 'DAI75645')
0.5066666666666667 ('GRO73461', 'SNA96271', 'DAI62779')
0.5066666666666667 ('SNA96271', 'GRO73461', 'DAI62779')
0.5073170731707317 ('FRO80039', 'SNA80324', 'FRO40251')
0.5073170731707317 ('SNA80324', 'FRO80039', 'FRO40251')
0.5077519379844961 ('FRO40251', 'SNA55762', 'DAI75645')
0.5077519379844961 ('SNA55762', 'FRO40251', 'DAI75645')
0.5089285714285714 ('FRO40251', 'GRO30386', 'DAI62779')
0.5089285714285714 ('GRO30386', 'FRO40251', 'DAI62779')
0.5095541401273885 ('ELE17451', 'ELE26917', 'DAI62779')
0.5095541401273885 ('ELE26917', 'ELE17451', 'DAI62779')
0.5110294117647058 ('ELE74009', 'FRO40251', 'DAI75645')
0.5110294117647058 ('FRO40251', 'ELE74009', 'DAI75645')
0.5114155251141552 ('SNA80324', 'SNA96271', 'FRO40251')
0.5114155251141552 ('SNA96271', 'SNA80324', 'FRO40251')
0.5130434782608696 ('FRO40251', 'GRO94758', 'DAI75645')
0.5130434782608696 ('GRO94758', 'FRO40251', 'DAI75645')
0.5137254901960784 ('DAI75645', 'SNA55762', 'FRO40251')
0.5144230769230769 ('ELE17451', 'ELE56788', 'DAI62779')
0.5144230769230769 ('ELE56788', 'ELE17451', 'DAI62779')
0.5157096424702059 ('DAI62779', 'SNA80324', 'FRO40251')
0.5174129353233831 ('SNA55762', 'SNA80324', 'FRO40251')
0.5174129353233831 ('SNA80324', 'SNA55762', 'FRO40251')
0.5181518151815182 ('ELE17451', 'SNA55762', 'DAI62779')
0.5181518151815182 ('SNA55762', 'ELE17451', 'DAI62779')
0.5197368421052632 ('ELE17451', 'SNA45677', 'DAI62779')
0.5197368421052632 ('SNA45677', 'ELE17451', 'DAI62779')
0.5215311004784688 ('ELE17451', 'GRO46854', 'DAI62779')
0.5215311004784688 ('GRO46854', 'ELE17451', 'DAI62779')
0.5220588235294118 ('ELE17451', 'GRO59710', 'DAI62779')
0.5220588235294118 ('GRO59710', 'ELE17451', 'DAI62779')
0.5244444444444445 ('GRO21487', 'SNA80324', 'FRO40251')
0.5244444444444445 ('SNA80324', 'GRO21487', 'FRO40251')
0.5282258064516129 ('DAI62779', 'SNA53220', 'FRO19221')
0.5291005291005291 ('GRO59710', 'SNA45677', 'ELE32164')
0.5291005291005291 ('SNA45677', 'GRO59710', 'ELE32164')
0.5295857988165681 ('DAI85309', 'GRO73461', 'DAI62779')
0.5295857988165681 ('GRO73461', 'DAI85309', 'DAI62779')
0.5308056872037915 ('DAI75645', 'GRO71621', 'FRO40251')
0.531578947368421 ('GRO30386', 'GRO59710', 'DAI62779')
0.531578947368421 ('GRO59710', 'GRO30386', 'DAI62779')
0.5365418894830659 ('DAI62779', 'GRO59710', 'ELE32164')
0.5420743639921722 ('ELE17451', 'ELE32164', 'DAI62779')
0.5420743639921722 ('ELE32164', 'ELE17451', 'DAI62779')
0.5435897435897435 ('FRO73056', 'GRO73461', 'GRO44993')
0.5436893203883495 ('DAI75645', 'GRO81087', 'FRO40251')
0.5444015444015444 ('DAI85309', 'ELE32164', 'DAI62779')
0.5444015444015444 ('ELE32164', 'DAI85309', 'DAI62779')
0.544973544973545 ('DAI31081', 'SNA80324', 'FRO40251')
0.5451505016722408 ('DAI55148', 'DAI75645', 'DAI62779')
0.5467980295566502 ('ELE17451', 'SNA96271', 'DAI62779')
0.5467980295566502 ('SNA96271', 'ELE17451', 'DAI62779')
0.5482758620689655 ('ELE17451', 'GRO71621', 'DAI62779')
0.5482758620689655 ('GRO71621', 'ELE17451', 'DAI62779')
0.5497630331753555 ('DAI85309', 'SNA55762', 'DAI62779')
0.5497630331753555 ('SNA55762', 'DAI85309', 'DAI62779')
0.5504201680672269 ('GRO30386', 'SNA80324', 'DAI75645')
0.5504201680672269 ('SNA80324', 'GRO30386', 'DAI75645')
0.5504587155963303 ('GRO94758', 'SNA80324', 'DAI75645')
0.5504587155963303 ('SNA80324', 'GRO94758', 'DAI75645')
0.5510204081632653 ('DAI55148', 'FRO40251', 'DAI62779')
0.5545722713864307 ('DAI55148', 'SNA80324', 'DAI62779')
0.555045871559633 ('ELE17451', 'FRO78087', 'DAI62779')
0.555045871559633 ('FRO78087', 'ELE17451', 'DAI62779')
0.558252427184466 ('ELE78169', 'SNA45677', 'GRO94758')
0.5590551181102362 ('GRO71621', 'SNA80324', 'FRO40251')
0.5590551181102362 ('SNA80324', 'GRO71621', 'FRO40251')
0.560546875 ('DAI43223', 'GRO59710', 'ELE32164')
0.5658536585365853 ('ELE20847', 'SNA80324', 'FRO40251')
0.5659340659340659 ('ELE17451', 'SNA90094', 'DAI62779')
0.5659340659340659 ('SNA90094', 'ELE17451', 'DAI62779')
0.5714285714285714 ('GRO30386', 'SNA80324', 'DAI62779')
0.5714285714285714 ('SNA80324', 'GRO30386', 'DAI62779')
0.5732217573221757 ('DAI75645', 'GRO30386', 'DAI62779')
0.5732217573221757 ('GRO30386', 'DAI75645', 'DAI62779')
0.5735294117647058 ('DAI92600', 'ELE17451', 'DAI42083')
0.5735294117647058 ('ELE17451', 'DAI92600', 'DAI42083')
0.5754985754985755 ('ELE17451', 'SNA59903', 'DAI62779')
0.5754985754985755 ('SNA59903', 'ELE17451', 'DAI62779')
0.5784313725490197 ('ELE32164', 'GRO30386', 'DAI62779')
0.5784313725490197 ('GRO30386', 'ELE32164', 'DAI62779')
0.5812807881773399 ('DAI75645', 'GRO94758', 'FRO40251')
0.582089552238806 ('SNA55762', 'SNA80324', 'DAI75645')
0.582089552238806 ('SNA80324', 'SNA55762', 'DAI75645')
0.5824964131994261 ('ELE17451', 'FRO40251', 'DAI62779')
0.5824964131994261 ('FRO40251', 'ELE17451', 'DAI62779')
0.5833333333333334 ('DAI42493', 'ELE17451', 'DAI62779')
0.5837837837837838 ('GRO81087', 'SNA80324', 'DAI75645')
0.5837837837837838 ('SNA80324', 'GRO81087', 'DAI75645')
0.5857142857142857 ('DAI75645', 'FRO53271', 'FRO40251')
0.5865921787709497 ('FRO53271', 'GRO59710', 'ELE32164')
0.5865921787709497 ('GRO59710', 'FRO53271', 'ELE32164')
0.5867346938775511 ('FRO53271', 'SNA80324', 'FRO40251')
0.5867346938775511 ('SNA80324', 'FRO53271', 'FRO40251')
0.5891891891891892 ('GRO81087', 'SNA80324', 'FRO40251')
0.5891891891891892 ('SNA80324', 'GRO81087', 'FRO40251')
0.5898876404494382 ('ELE99737', 'SNA45677', 'DAI85309')
0.5898876404494382 ('SNA45677', 'ELE99737', 'DAI85309')
0.5906432748538012 ('DAI62779', 'SNA59903', 'ELE17451')
0.5912897822445561 ('ELE17451', 'SNA80324', 'FRO40251')
0.591743119266055 ('GRO94758', 'SNA80324', 'FRO40251')
0.591743119266055 ('SNA80324', 'GRO94758', 'FRO40251')
0.5931558935361216 ('FRO85978', 'SNA93860', 'DAI62779')
0.5931558935361216 ('SNA93860', 'FRO85978', 'DAI62779')
0.5932203389830508 ('DAI62779', 'DAI92600', 'DAI42083')
0.5932203389830508 ('DAI92600', 'DAI62779', 'DAI42083')
0.5989304812834224 ('DAI31081', 'GRO59710', 'ELE32164')
0.5996343692870201 ('DAI75645', 'ELE17451', 'DAI62779')
0.5996343692870201 ('ELE17451', 'DAI75645', 'DAI62779')
0.6032608695652174 ('DAI43223', 'GRO73461', 'ELE32164')
0.6062992125984252 ('SNA53220', 'SNA93860', 'DAI62779')
0.6062992125984252 ('SNA93860', 'SNA53220', 'DAI62779')
0.6106870229007634 ('ELE17451', 'GRO81087', 'DAI62779')
0.6106870229007634 ('GRO81087', 'ELE17451', 'DAI62779')
0.6324324324324324 ('DAI42083', 'ELE17451', 'DAI92600')
0.6378378378378379 ('ELE17451', 'SNA38068', 'DAI62779')
0.6378378378378379 ('SNA38068', 'ELE17451', 'DAI62779')
0.6491228070175439 ('ELE17451', 'GRO15017', 'DAI62779')
0.6491228070175439 ('GRO15017', 'ELE17451', 'DAI62779')
0.6607142857142857 ('DAI85309', 'FRO19221', 'ELE99737')
0.6783042394014963 ('DAI62779', 'ELE99737', 'DAI85309')
0.68 ('ELE99737', 'GRO94758', 'DAI85309')
0.68 ('GRO94758', 'ELE99737', 'DAI85309')
0.681592039800995 ('DAI85309', 'ELE92920', 'ELE17451')
0.6878612716763006 ('DAI85309', 'SNA18336', 'ELE17451')
0.696319018404908 ('DAI43223', 'ELE17451', 'DAI62779')
0.6984924623115578 ('ELE17451', 'SNA80324', 'DAI62779')
0.6984924623115578 ('SNA80324', 'ELE17451', 'DAI62779')
0.7029702970297029 ('FRO19221', 'GRO73461', 'DAI62779')
0.7029702970297029 ('GRO73461', 'FRO19221', 'DAI62779')
0.7033195020746889 ('DAI85309', 'ELE17451', 'DAI62779')
0.7033195020746889 ('ELE17451', 'DAI85309', 'DAI62779')
0.7132867132867133 ('FRO40251', 'SNA18336', 'DAI62779')
0.7132867132867133 ('SNA18336', 'FRO40251', 'DAI62779')
0.7136150234741784 ('ELE92920', 'FRO40251', 'DAI62779')
0.7136150234741784 ('FRO40251', 'ELE92920', 'DAI62779')
0.7366071428571429 ('ELE32164', 'ELE92920', 'DAI62779')
0.7366071428571429 ('ELE92920', 'ELE32164', 'DAI62779')
0.7549668874172185 ('FRO19221', 'SNA93860', 'SNA53220')
0.7577639751552795 ('ELE59028', 'SNA93860', 'FRO85978')
0.7887323943661971 ('DAI42493', 'ELE92920', 'DAI62779')
0.7926829268292683 ('DAI75645', 'ELE92920', 'DAI62779')
0.7926829268292683 ('ELE92920', 'DAI75645', 'DAI62779')
0.7929515418502202 ('ELE17451', 'GRO94758', 'DAI62779')
0.7929515418502202 ('GRO94758', 'ELE17451', 'DAI62779')
0.8034682080924855 ('DAI85309', 'SNA18336', 'ELE92920')
0.8064516129032258 ('ELE32164', 'SNA18336', 'DAI62779')
0.8064516129032258 ('SNA18336', 'ELE32164', 'DAI62779')
0.8076923076923077 ('ELE74009', 'ELE92920', 'DAI62779')
0.8076923076923077 ('ELE92920', 'ELE74009', 'DAI62779')
0.8102189781021898 ('FRO47962', 'GRO73461', 'DAI75645')
0.8102189781021898 ('GRO73461', 'FRO47962', 'DAI75645')
0.8202764976958525 ('ELE17451', 'GRO85051', 'DAI62779')
0.8202764976958525 ('GRO85051', 'ELE17451', 'DAI62779')
0.8226950354609929 ('ELE92920', 'GRO59710', 'DAI62779')
0.8226950354609929 ('GRO59710', 'ELE92920', 'DAI62779')
0.8278145695364238 ('FRO19221', 'SNA93860', 'DAI62779')
0.8278145695364238 ('SNA93860', 'FRO19221', 'DAI62779')
0.8345864661654135 ('ELE99737', 'FRO19221', 'DAI85309')
0.8345864661654135 ('FRO19221', 'ELE99737', 'DAI85309')
0.8384615384615385 ('DAI42493', 'SNA18336', 'DAI62779')
0.8451612903225807 ('FRO19221', 'SNA53220', 'DAI62779')
0.8451612903225807 ('SNA53220', 'FRO19221', 'DAI62779')
0.8537549407114624 ('DAI62779', 'SNA18336', 'ELE92920')
0.8539325842696629 ('ELE17451', 'SNA18336', 'ELE92920')
0.8571428571428571 ('ELE59028', 'SNA93860', 'DAI62779')
0.8571428571428571 ('SNA93860', 'ELE59028', 'DAI62779')
0.8709677419354839 ('ELE21353', 'FRO19221', 'DAI62779')
0.8709677419354839 ('FRO19221', 'ELE21353', 'DAI62779')
0.8728323699421965 ('DAI85309', 'SNA18336', 'DAI62779')
0.8728323699421965 ('SNA18336', 'DAI85309', 'DAI62779')
0.874251497005988 ('ELE59028', 'FRO85978', 'DAI62779')
0.874251497005988 ('FRO85978', 'ELE59028', 'DAI62779')
0.8881987577639752 ('ELE92920', 'GRO15017', 'DAI62779')
0.8881987577639752 ('GRO15017', 'ELE92920', 'DAI62779')
0.8984375 ('ELE17451', 'ELE92920', 'DAI62779')
0.8984375 ('ELE92920', 'ELE17451', 'DAI62779')
0.9138576779026217 ('ELE17451', 'SNA18336', 'DAI62779')
0.9138576779026217 ('SNA18336', 'ELE17451', 'DAI62779')
0.9279279279279279 ('DAI83733', 'ELE92920', 'DAI62779')
0.9279279279279279 ('ELE92920', 'DAI83733', 'DAI62779')
0.9292035398230089 ('GRO15017', 'SNA18336', 'DAI62779')
0.9292035398230089 ('SNA18336', 'GRO15017', 'DAI62779')
0.9494505494505494 ('ELE92920', 'SNA18336', 'DAI62779')
0.9494505494505494 ('SNA18336', 'ELE92920', 'DAI62779')
0.9502487562189055 ('DAI85309', 'ELE92920', 'DAI62779')
0.9502487562189055 ('ELE92920', 'DAI85309', 'DAI62779')
0.9571428571428572 ('ELE92920', 'GRO81087', 'DAI62779')
0.9571428571428572 ('GRO81087', 'ELE92920', 'DAI62779')
0.9722222222222222 ('DAI55148', 'FRO92469', 'FRO40251')
0.9744318181818182 ('FRO92469', 'SNA80324', 'FRO40251')
0.9744318181818182 ('SNA80324', 'FRO92469', 'FRO40251')
0.9788732394366197 ('DAI88079', 'SNA80324', 'FRO40251')
0.98046875 ('DAI75645', 'FRO92469', 'FRO40251')
0.9818181818181818 ('ELE17451', 'FRO92469', 'FRO40251')
0.9834710743801653 ('DAI62779', 'FRO92469', 'FRO40251')
0.9906103286384976 ('FRO92469', 'GRO73461', 'FRO40251')
0.9906103286384976 ('GRO73461', 'FRO92469', 'FRO40251')
0.993103448275862 ('DAI88079', 'GRO73461', 'FRO40251')
0.9973821989528796 ('DAI62779', 'GRO85051', 'FRO40251')
1.0 ('DAI23334', 'ELE92920', 'DAI62779')
1.0 ('DAI31081', 'GRO85051', 'FRO40251')
1.0 ('DAI55911', 'GRO85051', 'FRO40251')
1.0 ('DAI75645', 'GRO85051', 'FRO40251')
1.0 ('ELE17451', 'GRO85051', 'FRO40251')
1.0 ('ELE20847', 'FRO92469', 'FRO40251')
1.0 ('ELE20847', 'GRO85051', 'FRO40251')
1.0 ('ELE26917', 'GRO85051', 'FRO40251')
1.0 ('FRO53271', 'GRO85051', 'FRO40251')
1.0 ('GRO21487', 'GRO85051', 'FRO40251')
1.0 ('GRO38814', 'GRO85051', 'FRO40251')
1.0 ('GRO73461', 'GRO85051', 'FRO40251')
1.0 ('GRO85051', 'FRO53271', 'FRO40251')
1.0 ('GRO85051', 'GRO21487', 'FRO40251')
1.0 ('GRO85051', 'GRO38814', 'FRO40251')
1.0 ('GRO85051', 'GRO73461', 'FRO40251')
1.0 ('GRO85051', 'SNA45677', 'FRO40251')
1.0 ('GRO85051', 'SNA80324', 'FRO40251')
1.0 ('SNA45677', 'GRO85051', 'FRO40251')
1.0 ('SNA80324', 'GRO85051', 'FRO40251')
